timestamp,laptop_time,pi_time,drift_ms,drift_seconds,cumulative_drift_seconds,drift_rate_seconds_per_hour,check_number
2025-09-24T18:55:05.752Z,2025-09-24T18:55:05.752Z,2025-09-24T18:55:05.675Z,-77,-0.077,-0.077,-0.4620,1
2025-09-24T19:05:06.981Z,2025-09-24T19:05:06.981Z,2025-09-24T19:05:06.965Z,-16,-0.016,-0.016,-0.0480,2
2025-09-24T19:15:08.261Z,2025-09-24T19:15:08.261Z,2025-09-24T19:15:08.148Z,-113,-0.113,-0.113,-0.2260,3
2025-09-24T19:25:09.434Z,2025-09-24T19:25:09.434Z,2025-09-24T19:25:09.547Z,113,0.113,0.113,0.1695,4
2025-09-24T19:35:10.823Z,2025-09-24T19:35:10.823Z,2025-09-24T19:35:10.738Z,-85,-0.085,-0.085,-0.1020,5
2025-09-24T19:45:12.001Z,2025-09-24T19:45:12.001Z,2025-09-24T19:45:12.023Z,22,0.022,0.022,0.0220,6
2025-09-24T19:55:13.275Z,2025-09-24T19:55:13.275Z,2025-09-24T19:55:13.209Z,-66,-0.066,-0.066,-0.0566,7
2025-09-24T20:05:14.451Z,2025-09-24T20:05:14.451Z,2025-09-24T20:05:14.402Z,-49,-0.049,-0.049,-0.0368,8
2025-09-24T20:15:15.636Z,2025-09-24T20:15:15.636Z,2025-09-24T20:15:15.597Z,-39,-0.039,-0.039,-0.0260,9
2025-09-24T20:25:16.821Z,2025-09-24T20:25:16.821Z,2025-09-24T20:25:16.755Z,-66,-0.066,-0.066,-0.0396,10
2025-09-24T20:35:17.972Z,2025-09-24T20:35:17.972Z,2025-09-24T20:35:18.067Z,95,0.095,0.095,0.0518,11
2025-09-24T20:45:19.277Z,2025-09-24T20:45:19.277Z,2025-09-24T20:45:19.256Z,-21,-0.021,-0.021,-0.0105,12
2025-09-24T20:55:20.454Z,2025-09-24T20:55:20.454Z,2025-09-24T20:55:20.444Z,-10,-0.010,-0.010,-0.0046,13
2025-09-24T21:05:21.633Z,2025-09-24T21:05:21.633Z,2025-09-24T21:05:21.629Z,-4,-0.004,-0.004,-0.0017,14
2025-09-24T21:15:22.811Z,2025-09-24T21:15:22.811Z,2025-09-24T21:15:22.910Z,99,0.099,0.099,0.0396,15
2025-09-24T21:25:24.083Z,2025-09-24T21:25:24.083Z,2025-09-24T21:25:24.110Z,27,0.027,0.027,0.0101,16
2025-09-24T21:35:25.274Z,2025-09-24T21:35:25.274Z,2025-09-24T21:35:25.298Z,24,0.024,0.024,0.0085,17
2025-09-24T21:45:26.453Z,2025-09-24T21:45:26.453Z,2025-09-24T21:45:26.479Z,26,0.026,0.026,0.0087,18
2025-09-24T21:55:27.641Z,2025-09-24T21:55:27.641Z,2025-09-24T21:55:27.777Z,136,0.136,0.136,0.0429,19
2025-09-24T22:05:28.914Z,2025-09-24T22:05:28.914Z,2025-09-24T22:05:29.069Z,155,0.155,0.155,0.0465,20
